     T(MeV)         phi_e         thetah           tnuh           nbh           a/a_i             N              P             H2            He4
 .3283287D+01  0.7322513D-09  0.2819297D-19  0.1000000D+01  0.1085490D-06  0.3046508D+01  0.4032461D+00  0.5967538D+00  0.1339927D-11  0.1000000D-29
 .3261332D+01  0.7330177D-09  0.2781703D-19  0.1000000D+01  0.1063833D-06  0.3067030D+01  0.4026434D+00  0.5973565D+00  0.1331893D-11  0.1000000D-29
 .3239404D+01  0.7337928D-09  0.2744405D-19  0.1000000D+01  0.1042491D-06  0.3087805D+01  0.4020342D+00  0.5979656D+00  0.1323895D-11  0.1000000D-29
 .3213125D+01  0.7347346D-09  0.2700038D-19  0.1000000D+01  0.1017292D-06  0.3113077D+01  0.4012945D+00  0.5987053D+00  0.1314347D-11  0.1000000D-29
 .3191254D+01  0.7355294D-09  0.2663388D-19  0.1000000D+01  0.9966330D-07  0.3134428D+01  0.4006708D+00  0.5993291D+00  0.1306431D-11  0.1000000D-29
 .3169408D+01  0.7363333D-09  0.2627031D-19  0.1000000D+01  0.9762785D-07  0.3156048D+01  0.4000401D+00  0.5999597D+00  0.1298552D-11  0.1000000D-29
 .3147588D+01  0.7371465D-09  0.2590965D-19  0.1000000D+01  0.9562260D-07  0.3177943D+01  0.3994025D+00  0.6005973D+00  0.1290709D-11  0.1000000D-29
 .3125792D+01  0.7379692D-09  0.2555188D-19  0.1000000D+01  0.9364724D-07  0.3200119D+01  0.3987579D+00  0.6012420D+00  0.1282904D-11  0.1000000D-29
 .3099670D+01  0.7389693D-09  0.2512637D-19  0.1000000D+01  0.9131581D-07  0.3227109D+01  0.3979748D+00  0.6020251D+00  0.1273587D-11  0.1000000D-29
 .3077928D+01  0.7398135D-09  0.2477494D-19  0.1000000D+01  0.8940511D-07  0.3249922D+01  0.3973141D+00  0.6026858D+00  0.1265864D-11  0.1000000D-29
 .3056211D+01  0.7406678D-09  0.2442637D-19  0.1000000D+01  0.8752333D-07  0.3273034D+01  0.3966459D+00  0.6033539D+00  0.1258178D-11  0.1000000D-29
 .3034517D+01  0.7415324D-09  0.2408065D-19  0.1000000D+01  0.8567017D-07  0.3296452D+01  0.3959701D+00  0.6040297D+00  0.1250529D-11  0.1000000D-29
 .3012848D+01  0.7424074D-09  0.2373777D-19  0.1000000D+01  0.8384534D-07  0.3320181D+01  0.3952866D+00  0.6047133D+00  0.1242918D-11  0.1000000D-29
 .2991202D+01  0.7432931D-09  0.2339771D-19  0.1000000D+01  0.8204855D-07  0.3344228D+01  0.3945952D+00  0.6054047D+00  0.1235345D-11  0.1000000D-29
 .2969580D+01  0.7441896D-09  0.2306048D-19  0.1000000D+01  0.8027952D-07  0.3368599D+01  0.3938957D+00  0.6061042D+00  0.1227809D-11  0.1000000D-29
 .2947981D+01  0.7450971D-09  0.2272604D-19  0.1000000D+01  0.7853797D-07  0.3393301D+01  0.3931880D+00  0.6068119D+00  0.1220312D-11  0.1000000D-29
 .2926406D+01  0.7460159D-09  0.2239441D-19  0.1000000D+01  0.7682361D-07  0.3418341D+01  0.3924719D+00  0.6075279D+00  0.1212852D-11  0.1000000D-29
 .2909162D+01  0.7467592D-09  0.2213111D-19  0.1000000D+01  0.7547152D-07  0.3438622D+01  0.3918930D+00  0.6081069D+00  0.1206912D-11  0.1000000D-29
 .2887628D+01  0.7476989D-09  0.2180448D-19  0.1000000D+01  0.7380542D-07  0.3464288D+01  0.3911616D+00  0.6088383D+00  0.1199521D-11  0.1000000D-29
 .2866117D+01  0.7486503D-09  0.2148062D-19  0.1000000D+01  0.7216574D-07  0.3490313D+01  0.3904213D+00  0.6095785D+00  0.1192169D-11  0.1000000D-29
 .2844629D+01  0.7496139D-09  0.2115953D-19  0.1000000D+01  0.7055222D-07  0.3516705D+01  0.3896722D+00  0.6103277D+00  0.1184856D-11  0.1000000D-29
 .2823164D+01  0.7505899D-09  0.2084118D-19  0.1000000D+01  0.6896459D-07  0.3543470D+01  0.3889139D+00  0.6110860D+00  0.1177581D-11  0.1000000D-29
 .2806008D+01  0.7513797D-09  0.2058848D-19  0.1000000D+01  0.6771295D-07  0.3565156D+01  0.3883006D+00  0.6116993D+00  0.1171789D-11  0.1000000D-29
 .2784583D+01  0.7523784D-09  0.2027506D-19  0.1000000D+01  0.6617125D-07  0.3592615D+01  0.3875255D+00  0.6124744D+00  0.1164585D-11  0.1000000D-29
 .2763181D+01  0.7533902D-09  0.1996437D-19  0.1000000D+01  0.6465470D-07  0.3620471D+01  0.3867407D+00  0.6132591D+00  0.1157421D-11  0.1000000D-29
 .2746076D+01  0.7542092D-09  0.1971778D-19  0.1000000D+01  0.6345939D-07  0.3643047D+01  0.3861059D+00  0.6138939D+00  0.1151718D-11  0.1000000D-29
 .2724714D+01  0.7552451D-09  0.1941197D-19  0.1000000D+01  0.6198746D-07  0.3671640D+01  0.3853035D+00  0.6146964D+00  0.1144625D-11  0.1000000D-29
 .2707640D+01  0.7560836D-09  0.1916928D-19  0.1000000D+01  0.6082752D-07  0.3694818D+01  0.3846542D+00  0.6153456D+00  0.1138980D-11  0.1000000D-29
 .2686319D+01  0.7571445D-09  0.1886833D-19  0.1000000D+01  0.5939937D-07  0.3724177D+01  0.3838334D+00  0.6161664D+00  0.1131960D-11  0.1000000D-29
 .2669278D+01  0.7580034D-09  0.1862951D-19  0.1000000D+01  0.5827413D-07  0.3747981D+01  0.3831693D+00  0.6168306D+00  0.1126373D-11  0.1000000D-29
 .2647996D+01  0.7590900D-09  0.1833340D-19  0.1000000D+01  0.5688895D-07  0.3778138D+01  0.3823295D+00  0.6176704D+00  0.1119427D-11  0.1000000D-29
 .2630987D+01  0.7599700D-09  0.1809843D-19  0.1000000D+01  0.5579776D-07  0.3802593D+01  0.3816499D+00  0.6183500D+00  0.1113899D-11  0.1000000D-29
 .2609745D+01  0.7610834D-09  0.1780713D-19  0.1000000D+01  0.5445474D-07  0.3833582D+01  0.3807905D+00  0.6192094D+00  0.1107027D-11  0.1000000D-29
 .2592767D+01  0.7619851D-09  0.1757600D-19  0.1000000D+01  0.5339695D-07  0.3858716D+01  0.3800949D+00  0.6199050D+00  0.1101560D-11  0.1000000D-29
 .2571565D+01  0.7631263D-09  0.1728947D-19  0.1000000D+01  0.5209528D-07  0.3890571D+01  0.3792152D+00  0.6207846D+00  0.1094764D-11  0.1000000D-29
 .2554619D+01  0.7640506D-09  0.1706216D-19  0.1000000D+01  0.5107026D-07  0.3916412D+01  0.3785032D+00  0.6214967D+00  0.1089358D-11  0.1000000D-29
 .2537688D+01  0.7649852D-09  0.1683653D-19  0.1000000D+01  0.5005959D-07  0.3942577D+01  0.3777836D+00  0.6222163D+00  0.1083979D-11  0.1000000D-29
 .2516543D+01  0.7661682D-09  0.1655687D-19  0.1000000D+01  0.4881627D-07  0.3975748D+01  0.3768734D+00  0.6231265D+00  0.1077294D-11  0.1000000D-29
 .2499643D+01  0.7671266D-09  0.1633503D-19  0.1000000D+01  0.4783747D-07  0.4002665D+01  0.3761364D+00  0.6238634D+00  0.1071978D-11  0.1000000D-29
 .2482757D+01  0.7680958D-09  0.1611486D-19  0.1000000D+01  0.4687262D-07  0.4029926D+01  0.3753917D+00  0.6246082D+00  0.1066690D-11  0.1000000D-29
 .2465885D+01  0.7690761D-09  0.1589637D-19  0.1000000D+01  0.4592162D-07  0.4057538D+01  0.3746389D+00  0.6253610D+00  0.1061430D-11  0.1000000D-29
 .2449028D+01  0.7700675D-09  0.1567955D-19  0.1000000D+01  0.4498433D-07  0.4085509D+01  0.3738779D+00  0.6261219D+00  0.1056199D-11  0.1000000D-29
 .2427975D+01  0.7713227D-09  0.1541087D-19  0.1000000D+01  0.4383182D-07  0.4120986D+01  0.3729152D+00  0.6270847D+00  0.1049701D-11  0.1000000D-29
 .2411149D+01  0.7723399D-09  0.1519779D-19  0.1000000D+01  0.4292496D-07  0.4149787D+01  0.3721356D+00  0.6278643D+00  0.1044535D-11  0.1000000D-29
 .2394337D+01  0.7733689D-09  0.1498637D-19  0.1000000D+01  0.4203142D-07  0.4178970D+01  0.3713474D+00  0.6286525D+00  0.1039399D-11  0.1000000D-29
 .2377539D+01  0.7744098D-09  0.1477660D-19  0.1000000D+01  0.4115109D-07  0.4208542D+01  0.3705506D+00  0.6294492D+00  0.1034293D-11  0.1000000D-29
 .2360755D+01  0.7754628D-09  0.1456848D-19  0.1000000D+01  0.4028385D-07  0.4238511D+01  0.3697451D+00  0.6302548D+00  0.1029217D-11  0.1000000D-29
 .2343985D+01  0.7765281D-09  0.1436200D-19  0.1000000D+01  0.3942958D-07  0.4268884D+01  0.3689307D+00  0.6310692D+00  0.1024171D-11  0.1000000D-29
 .2327229D+01  0.7776060D-09  0.1415717D-19  0.1000000D+01  0.3858816D-07  0.4299670D+01  0.3681072D+00  0.6318926D+00  0.1019156D-11  0.1000000D-29
 .2310488D+01  0.7786966D-09  0.1395398D-19  0.1000000D+01  0.3775949D-07  0.4330878D+01  0.3672746D+00  0.6327252D+00  0.1014172D-11  0.1000000D-29
 .2293760D+01  0.7798000D-09  0.1375243D-19  0.1000173D+01  0.3694343D-07  0.4362515D+01  0.3664328D+00  0.6335671D+00  0.1009219D-11  0.1000000D-29
 .2277047D+01  0.7809166D-09  0.1355250D-19  0.1000156D+01  0.3613989D-07  0.4394592D+01  0.3655815D+00  0.6344184D+00  0.1004299D-11  0.1000000D-29
 .2260348D+01  0.7820465D-09  0.1335421D-19  0.1000139D+01  0.3534873D-07  0.4427116D+01  0.3647207D+00  0.6352791D+00  0.9994099D-12  0.1000000D-29
 .2243663D+01  0.7831898D-09  0.1315754D-19  0.1000122D+01  0.3456985D-07  0.4460098D+01  0.3638503D+00  0.6361496D+00  0.9945539D-12  0.1000000D-29
 .2226992D+01  0.7843469D-09  0.1296249D-19  0.1000105D+01  0.3380314D-07  0.4493547D+01  0.3629700D+00  0.6370299D+00  0.9897308D-12  0.1000000D-29
 .2214498D+01  0.7852238D-09  0.1281726D-19  0.1000091D+01  0.3323601D-07  0.4518946D+01  0.3623033D+00  0.6376966D+00  0.9861354D-12  0.1000000D-29
 .2197852D+01  0.7864054D-09  0.1262504D-19  0.1000073D+01  0.3249031D-07  0.4553236D+01  0.3614056D+00  0.6385943D+00  0.9813711D-12  0.1000000D-29
 .2181221D+01  0.7876012D-09  0.1243444D-19  0.1000054D+01  0.3175646D-07  0.4588022D+01  0.3604977D+00  0.6395022D+00  0.9766410D-12  0.1000000D-29
 .2164604D+01  0.7888116D-09  0.1224544D-19  0.1000035D+01  0.3103436D-07  0.4623312D+01  0.3595795D+00  0.6404203D+00  0.9719457D-12  0.1000000D-29
 .2152150D+01  0.7897290D-09  0.1210475D-19  0.1000020D+01  0.3050042D-07  0.4650119D+01  0.3588841D+00  0.6411158D+00  0.9684472D-12  0.1000000D-29
 .2135559D+01  0.7909652D-09  0.1191857D-19  0.1000001D+01  0.2979860D-07  0.4686321D+01  0.3579475D+00  0.6420523D+00  0.9638137D-12  0.1000000D-29
 .2118981D+01  0.7922165D-09  0.1173398D-19  0.9999802D+00  0.2910821D-07  0.4723059D+01  0.3570003D+00  0.6429995D+00  0.9592164D-12  0.1000000D-29
 .2102419D+01  0.7934832D-09  0.1155099D-19  0.9999594D+00  0.2842916D-07  0.4760346D+01  0.3560424D+00  0.6439575D+00  0.9546558D-12  0.1000000D-29
 .2090007D+01  0.7944433D-09  0.1141480D-19  0.9999435D+00  0.2792723D-07  0.4788678D+01  0.3553167D+00  0.6446832D+00  0.9512598D-12  0.1000000D-29
 .2073470D+01  0.7957373D-09  0.1123460D-19  0.9999218D+00  0.2726774D-07  0.4826954D+01  0.3543395D+00  0.6456604D+00  0.9467648D-12  0.1000000D-29
 .2061077D+01  0.7967182D-09  0.1110050D-19  0.9999052D+00  0.2678037D-07  0.4856042D+01  0.3535992D+00  0.6464006D+00  0.9434187D-12  0.1000000D-29
 .2044567D+01  0.7980402D-09  0.1092309D-19  0.9998826D+00  0.2614011D-07  0.4895345D+01  0.3526024D+00  0.6473975D+00  0.9389914D-12  0.1000000D-29
 .2032194D+01  0.7990424D-09  0.1079107D-19  0.9998653D+00  0.2566705D-07  0.4925220D+01  0.3518473D+00  0.6481526D+00  0.9356968D-12  0.1000000D-29
 .2015709D+01  0.8003931D-09  0.1061643D-19  0.9998417D+00  0.2504570D-07  0.4965592D+01  0.3508304D+00  0.6491695D+00  0.9313392D-12  0.1000000D-29
 .1999241D+01  0.8017605D-09  0.1044337D-19  0.9998176D+00  0.2443501D-07  0.5006594D+01  0.3498019D+00  0.6501980D+00  0.9270224D-12  0.1000000D-29
 .1986899D+01  0.8027972D-09  0.1031461D-19  0.9997991D+00  0.2398393D-07  0.5037768D+01  0.3490228D+00  0.6509771D+00  0.9238122D-12  0.1000000D-29
 .1974567D+01  0.8038435D-09  0.1018674D-19  0.9997803D+00  0.2353874D-07  0.5069311D+01  0.3482370D+00  0.6517629D+00  0.9206256D-12  0.1000000D-29
 .1958137D+01  0.8052537D-09  0.1001763D-19  0.9997547D+00  0.2295425D-07  0.5111952D+01  0.3471789D+00  0.6528210D+00  0.9164145D-12  0.1000000D-29
 .1945825D+01  0.8063229D-09  0.9891822D-20  0.9997350D+00  0.2252264D-07  0.5144380D+01  0.3463773D+00  0.6536226D+00  0.9132848D-12  0.1000000D-29
 .1929424D+01  0.8077639D-09  0.9725460D-20  0.9997083D+00  0.2195609D-07  0.5188225D+01  0.3452980D+00  0.6547019D+00  0.9091509D-12  0.1000000D-29
 .1917133D+01  0.8088564D-09  0.9601720D-20  0.9996878D+00  0.2153783D-07  0.5221575D+01  0.3444804D+00  0.6555195D+00  0.9060801D-12  0.1000000D-29
 .1904852D+01  0.8099591D-09  0.9478862D-20  0.9996669D+00  0.2112521D-07  0.5255331D+01  0.3436558D+00  0.6563440D+00  0.9030353D-12  0.1000000D-29
 .1888492D+01  0.8114454D-09  0.9316422D-20  0.9996384D+00  0.2058377D-07  0.5300984D+01  0.3425455D+00  0.6574543D+00  0.8990166D-12  0.1000000D-29
 .1876232D+01  0.8125722D-09  0.9195621D-20  0.9996166D+00  0.2018416D-07  0.5335717D+01  0.3417046D+00  0.6582953D+00  0.8960340D-12  0.1000000D-29
 .1863983D+01  0.8137096D-09  0.9075699D-20  0.9995944D+00  0.1979007D-07  0.5370882D+01  0.3408565D+00  0.6591434D+00  0.8930788D-12  0.1000000D-29
 .1847666D+01  0.8152425D-09  0.8917172D-20  0.9995641D+00  0.1927309D-07  0.5418451D+01  0.3397145D+00  0.6602854D+00  0.8891820D-12  0.1000000D-29
 .1835439D+01  0.8164047D-09  0.8799303D-20  0.9995408D+00  0.1889168D-07  0.5454651D+01  0.3388496D+00  0.6611503D+00  0.8862926D-12  0.1000000D-29
 .1823223D+01  0.8175778D-09  0.8682312D-20  0.9995171D+00  0.1851563D-07  0.5491309D+01  0.3379775D+00  0.6620224D+00  0.8834324D-12  0.1000000D-29
 .1811017D+01  0.8187617D-09  0.8566198D-20  0.9994929D+00  0.1814491D-07  0.5528432D+01  0.3370980D+00  0.6629019D+00  0.8806017D-12  0.1000000D-29
 .1794758D+01  0.8203575D-09  0.8412746D-20  0.9994600D+00  0.1765882D-07  0.5578669D+01  0.3359139D+00  0.6640859D+00  0.8768745D-12  0.1000000D-29
 .1782577D+01  0.8215672D-09  0.8298679D-20  0.9994347D+00  0.1730037D-07  0.5616911D+01  0.3350173D+00  0.6649826D+00  0.8741152D-12  0.1000000D-29
 .1770406D+01  0.8227880D-09  0.8185490D-20  0.9994089D+00  0.1694710D-07  0.5655648D+01  0.3341134D+00  0.6658865D+00  0.8713942D-12  0.1000000D-29
 .1759123D+01  0.8239428D-09  0.8081247D-20  0.9993845D+00  0.1662391D-07  0.5692041D+01  0.3332582D+00  0.6667417D+00  0.8686677D-12  0.1000000D-29
 .1746129D+01  0.8252847D-09  0.7962019D-20  0.9993558D+00  0.1625682D-07  0.5734540D+01  0.3322656D+00  0.6677343D+00  0.8658879D-12  0.1000000D-29
 .1735004D+01  0.8264440D-09  0.7860640D-20  0.9993307D+00  0.1594684D-07  0.5771435D+01  0.3314091D+00  0.6685907D+00  0.8634680D-12  0.1000000D-29
 .1722044D+01  0.8278069D-09  0.7743361D-20  0.9993009D+00  0.1559074D-07  0.5815018D+01  0.3304033D+00  0.6695966D+00  0.8606831D-12  0.1000000D-29
 .1709073D+01  0.8291847D-09  0.7626867D-20  0.9992703D+00  0.1523968D-07  0.5859302D+01  0.3293877D+00  0.6706122D+00  0.8579341D-12  0.1000000D-29
 .1697948D+01  0.8303778D-09  0.7527648D-20  0.9992436D+00  0.1494280D-07  0.5897827D+01  0.3285093D+00  0.6714906D+00  0.8556073D-12  0.1000000D-29
 .1684961D+01  0.8317839D-09  0.7412642D-20  0.9992116D+00  0.1460113D-07  0.5943448D+01  0.3274752D+00  0.6725246D+00  0.8529280D-12  0.1000000D-29
 .1673824D+01  0.8330015D-09  0.7314714D-20  0.9991837D+00  0.1431228D-07  0.5983140D+01  0.3265809D+00  0.6734190D+00  0.8506627D-12  0.1000000D-29
 .1660823D+01  0.8344367D-09  0.7201227D-20  0.9991503D+00  0.1397996D-07  0.6030149D+01  0.3255280D+00  0.6744719D+00  0.8480574D-12  0.1000000D-29
 .1649674D+01  0.8356796D-09  0.7104610D-20  0.9991211D+00  0.1369910D-07  0.6071055D+01  0.3246173D+00  0.6753826D+00  0.8458573D-12  0.1000000D-29
 .1638521D+01  0.8369344D-09  0.7008604D-20  0.9990913D+00  0.1342190D-07  0.6112538D+01  0.3236990D+00  0.6763009D+00  0.8436885D-12  0.1000000D-29
 .1625503D+01  0.8384134D-09  0.6897371D-20  0.9990556D+00  0.1310311D-07  0.6161680D+01  0.3226179D+00  0.6773820D+00  0.8411990D-12  0.1000000D-29
 .1614340D+01  0.8396945D-09  0.6802695D-20  0.9990244D+00  0.1283380D-07  0.6204455D+01  0.3216828D+00  0.6783170D+00  0.8391009D-12  0.1000000D-29
 .1603173D+01  0.8409879D-09  0.6708636D-20  0.9989925D+00  0.1256810D-07  0.6247846D+01  0.3207399D+00  0.6792600D+00  0.8370369D-12  0.1000000D-29
 .1592002D+01  0.8422938D-09  0.6615194D-20  0.9989600D+00  0.1230598D-07  0.6291866D+01  0.3197890D+00  0.6802109D+00  0.8350078D-12  0.1000000D-29
 .1578964D+01  0.8438335D-09  0.6506961D-20  0.9989211D+00  0.1200468D-07  0.6344036D+01  0.3186695D+00  0.6813304D+00  0.8326860D-12  0.1000000D-29
 .1567784D+01  0.8451671D-09  0.6414860D-20  0.9988869D+00  0.1175026D-07  0.6389467D+01  0.3177012D+00  0.6822987D+00  0.8307358D-12  0.1000000D-29
 .1556599D+01  0.8465139D-09  0.6323378D-20  0.9988521D+00  0.1149937D-07  0.6435573D+01  0.3167247D+00  0.6832752D+00  0.8288237D-12  0.1000000D-29
 .1545411D+01  0.8478739D-09  0.6232516D-20  0.9988164D+00  0.1125196D-07  0.6482368D+01  0.3157399D+00  0.6842599D+00  0.8269507D-12  0.1000000D-29
 .1534218D+01  0.8492473D-09  0.6142275D-20  0.9987800D+00  0.1100803D-07  0.6529869D+01  0.3147469D+00  0.6852530D+00  0.8251179D-12  0.1000000D-29
 .1524887D+01  0.8504022D-09  0.6067547D-20  0.9987490D+00  0.1080739D-07  0.6570005D+01  0.3139130D+00  0.6860869D+00  0.8236220D-12  0.1000000D-29
 .1513686D+01  0.8518007D-09  0.5978442D-20  0.9987110D+00  0.1056976D-07  0.6618843D+01  0.3129045D+00  0.6870954D+00  0.8218659D-12  0.1000000D-29
 .1502480D+01  0.8532131D-09  0.5889957D-20  0.9986722D+00  0.1033554D-07  0.6668436D+01  0.3118875D+00  0.6881123D+00  0.8201534D-12  0.1000000D-29
 .1491270D+01  0.8546396D-09  0.5802092D-20  0.9986325D+00  0.1010470D-07  0.6718801D+01  0.3108620D+00  0.6891379D+00  0.8184858D-12  0.1000000D-29
 .1480055D+01  0.8560805D-09  0.5714847D-20  0.9985918D+00  0.9877215D-08  0.6769957D+01  0.3098278D+00  0.6901720D+00  0.8168644D-12  0.1000000D-29
 .1470705D+01  0.8572923D-09  0.5642617D-20  0.9985572D+00  0.9690192D-08  0.6813205D+01  0.3089594D+00  0.6910405D+00  0.8155497D-12  0.1000000D-29
 .1459480D+01  0.8587599D-09  0.5556509D-20  0.9985148D+00  0.9468801D-08  0.6865861D+01  0.3079092D+00  0.6920907D+00  0.8140169D-12  0.1000000D-29
 .1450123D+01  0.8599943D-09  0.5485226D-20  0.9984787D+00  0.9286824D-08  0.6910388D+01  0.3070273D+00  0.6929726D+00  0.8127782D-12  0.1000000D-29
 .1437057D+01  0.8617205D-09  0.5386457D-20  0.9984271D+00  0.9036634D-08  0.6973540D+01  0.3057976D+00  0.6942023D+00  0.8111757D-12  0.1000000D-29
 .1427910D+01  0.8629447D-09  0.5317848D-20  0.9983902D+00  0.8864190D-08  0.7018442D+01  0.3049267D+00  0.6950732D+00  0.8100298D-12  0.1000000D-29
 .1418315D+01  0.8642349D-09  0.5246346D-20  0.9983507D+00  0.8685658D-08  0.7066171D+01  0.3040106D+00  0.6959893D+00  0.8089312D-12  0.1000000D-29
 .1409025D+01  0.8654961D-09  0.5177573D-20  0.9983116D+00  0.8515089D-08  0.7113010D+01  0.3031165D+00  0.6968834D+00  0.8078712D-12  0.1000000D-29
 .1396879D+01  0.8671537D-09  0.5088346D-20  0.9982594D+00  0.8295476D-08  0.7175192D+01  0.3019440D+00  0.6980559D+00  0.8066215D-12  0.1000000D-29
 .1385517D+01  0.8687204D-09  0.5005570D-20  0.9982093D+00  0.8093461D-08  0.7234360D+01  0.3008380D+00  0.6991619D+00  0.8054354D-12  0.1000000D-29
 .1378044D+01  0.8697590D-09  0.4951498D-20  0.9981757D+00  0.7962400D-08  0.7273810D+01  0.3001062D+00  0.6998937D+00  0.8046931D-12  0.1000000D-29
 .1366985D+01  0.8713097D-09  0.4872012D-20  0.9981249D+00  0.7771038D-08  0.7332992D+01  0.2990153D+00  0.7009846D+00  0.8036606D-12  0.1000000D-29
 .1356101D+01  0.8728517D-09  0.4794415D-20  0.9980738D+00  0.7585732D-08  0.7392183D+01  0.2979325D+00  0.7020673D+00  0.8026930D-12  0.1000000D-29
 .1348942D+01  0.8738749D-09  0.4743705D-20  0.9980395D+00  0.7465440D-08  0.7431648D+01  0.2972153D+00  0.7027845D+00  0.8020953D-12  0.1000000D-29
 .1338343D+01  0.8754024D-09  0.4669128D-20  0.9979876D+00  0.7289704D-08  0.7490853D+01  0.2961464D+00  0.7038535D+00  0.8012580D-12  0.1000000D-29
 .1327909D+01  0.8769211D-09  0.4596288D-20  0.9979354D+00  0.7119415D-08  0.7550066D+01  0.2950859D+00  0.7049140D+00  0.8004972D-12  0.1000000D-29
 .1321043D+01  0.8779286D-09  0.4548666D-20  0.9979004D+00  0.7008811D-08  0.7589547D+01  0.2943835D+00  0.7056164D+00  0.8000313D-12  0.1000000D-29
 .1310876D+01  0.8794325D-09  0.4478602D-20  0.9978475D+00  0.6847140D-08  0.7648776D+01  0.2933370D+00  0.7066629D+00  0.7993936D-12  0.1000000D-29
 .1300865D+01  0.8809274D-09  0.4410137D-20  0.9977942D+00  0.6690379D-08  0.7708013D+01  0.2922989D+00  0.7077010D+00  0.7988284D-12  0.1000000D-29
 .1291005D+01  0.8824134D-09  0.4343223D-20  0.9977405D+00  0.6538343D-08  0.7767260D+01  0.2912693D+00  0.7087306D+00  0.7983346D-12  0.1000000D-29
 .1281294D+01  0.8838905D-09  0.4277812D-20  0.9976865D+00  0.6390855D-08  0.7826515D+01  0.2902481D+00  0.7097518D+00  0.7979114D-12  0.1000000D-29
 .1271728D+01  0.8853585D-09  0.4213860D-20  0.9976320D+00  0.6247748D-08  0.7885780D+01  0.2892354D+00  0.7107645D+00  0.7975577D-12  0.1000000D-29
 .1265429D+01  0.8863323D-09  0.4172014D-20  0.9975955D+00  0.6154696D-08  0.7925295D+01  0.2885650D+00  0.7114349D+00  0.7973602D-12  0.1000000D-29
 .1256097D+01  0.8877855D-09  0.4110399D-20  0.9975403D+00  0.6018534D-08  0.7984575D+01  0.2875663D+00  0.7124336D+00  0.7971205D-12  0.1000000D-29
 .1246902D+01  0.8892298D-09  0.4050132D-20  0.9974848D+00  0.5886337D-08  0.8043865D+01  0.2865761D+00  0.7134238D+00  0.7969481D-12  0.1000000D-29
 .1237841D+01  0.8906652D-09  0.3991173D-20  0.9974289D+00  0.5757963D-08  0.8103164D+01  0.2855942D+00  0.7144056D+00  0.7968421D-12  0.1000000D-29
 .1228910D+01  0.8920918D-09  0.3933486D-20  0.9973726D+00  0.5633275D-08  0.8162472D+01  0.2846207D+00  0.7153791D+00  0.7968017D-12  0.1000000D-29
 .1220107D+01  0.8935096D-09  0.3877033D-20  0.9973159D+00  0.5512140D-08  0.8221790D+01  0.2836556D+00  0.7163443D+00  0.7968262D-12  0.1000000D-29
 .1211430D+01  0.8949186D-09  0.3821780D-20  0.9972588D+00  0.5394435D-08  0.8281118D+01  0.2826987D+00  0.7173012D+00  0.7969149D-12  0.1000000D-29
 .1202875D+01  0.8963189D-09  0.3767693D-20  0.9972013D+00  0.5280037D-08  0.8340455D+01  0.2817501D+00  0.7182498D+00  0.7970670D-12  0.1000000D-29
 .1194440D+01  0.8977105D-09  0.3714739D-20  0.9971434D+00  0.5168833D-08  0.8399802D+01  0.2808097D+00  0.7191902D+00  0.7972819D-12  0.1000000D-29
 .1186122D+01  0.8990936D-09  0.3662887D-20  0.9970851D+00  0.5060712D-08  0.8459160D+01  0.2798775D+00  0.7201224D+00  0.7975589D-12  0.1000000D-29
 .1175211D+01  0.9009243D-09  0.3595413D-20  0.9970068D+00  0.4921163D-08  0.8538318D+01  0.2786471D+00  0.7213528D+00  0.7980238D-12  0.1000000D-29
 .1167158D+01  0.9022875D-09  0.3546016D-20  0.9969476D+00  0.4819830D-08  0.8597698D+01  0.2777338D+00  0.7222661D+00  0.7984433D-12  0.1000000D-29
 .1159215D+01  0.9036422D-09  0.3497624D-20  0.9968880D+00  0.4721243D-08  0.8657089D+01  0.2768284D+00  0.7231715D+00  0.7989230D-12  0.1000000D-29
 .1151379D+01  0.9049886D-09  0.3450210D-20  0.9968280D+00  0.4625309D-08  0.8716490D+01  0.2759310D+00  0.7240689D+00  0.7994623D-12  0.1000000D-29
 .1143648D+01  0.9063267D-09  0.3403747D-20  0.9967676D+00  0.4531941D-08  0.8775901D+01  0.2750415D+00  0.7249583D+00  0.8000607D-12  0.1000000D-29
 .1136021D+01  0.9076566D-09  0.3358210D-20  0.9967069D+00  0.4441053D-08  0.8835322D+01  0.2741599D+00  0.7258400D+00  0.8007176D-12  0.1000000D-29
 .1126008D+01  0.9094171D-09  0.3298893D-20  0.9966253D+00  0.4323586D-08  0.8914567D+01  0.2729965D+00  0.7270034D+00  0.8016838D-12  0.1000000D-29
 .1118613D+01  0.9107281D-09  0.3255424D-20  0.9965636D+00  0.4238173D-08  0.8974013D+01  0.2721329D+00  0.7278669D+00  0.8024755D-12  0.1000000D-29
 .1111315D+01  0.9120311D-09  0.3212802D-20  0.9965015D+00  0.4154980D-08  0.9033469D+01  0.2712771D+00  0.7287228D+00  0.8033243D-12  0.1000000D-29
 .1104111D+01  0.9133262D-09  0.3171006D-20  0.9964391D+00  0.4073935D-08  0.9092936D+01  0.2704288D+00  0.7295711D+00  0.8042297D-12  0.1000000D-29
 .1094650D+01  0.9150407D-09  0.3116527D-20  0.9963552D+00  0.3969100D-08  0.9172242D+01  0.2693095D+00  0.7306904D+00  0.8055244D-12  0.1000000D-29
 .1087661D+01  0.9163176D-09  0.3076577D-20  0.9962919D+00  0.3892805D-08  0.9231734D+01  0.2684788D+00  0.7315211D+00  0.8065605D-12  0.1000000D-29
