     T(MeV)         phi_e         thetah           tnuh           nbh           a/a_i             N              P             H2            He4
 .7946112D+01  0.6661869D-09  0.1651882D-18  0.1000000D+01  0.1542107D-05  0.1258499D+01  0.4572940D+00  0.5427059D+00  0.3503337D-11  0.1000000D-29
 .7887563D+01  0.6664925D-09  0.1627632D-18  0.1000000D+01  0.1508249D-05  0.1267841D+01  0.4570204D+00  0.5429795D+00  0.3471678D-11  0.1000000D-29
 .7828332D+01  0.6668086D-09  0.1603281D-18  0.1000000D+01  0.1474505D-05  0.1277434D+01  0.4567383D+00  0.5432617D+00  0.3439502D-11  0.1000000D-29
 .7775332D+01  0.6670901D-09  0.1581648D-18  0.1000000D+01  0.1444742D-05  0.1286142D+01  0.4564870D+00  0.5435129D+00  0.3411642D-11  0.1000000D-29
 .7717310D+01  0.6674140D-09  0.1558134D-18  0.1000000D+01  0.1412620D-05  0.1295813D+01  0.4561995D+00  0.5438004D+00  0.3380072D-11  0.1000000D-29
 .7660285D+01  0.6677385D-09  0.1535194D-18  0.1000000D+01  0.1381517D-05  0.1305459D+01  0.4559120D+00  0.5440879D+00  0.3349341D-11  0.1000000D-29
 .7610012D+01  0.6680290D-09  0.1515112D-18  0.1000000D+01  0.1354479D-05  0.1314084D+01  0.4556552D+00  0.5443447D+00  0.3322410D-11  0.1000000D-29
 .7553189D+01  0.6683634D-09  0.1492573D-18  0.1000000D+01  0.1324346D-05  0.1323971D+01  0.4553602D+00  0.5446397D+00  0.3292107D-11  0.1000000D-29
 .7496924D+01  0.6687012D-09  0.1470421D-18  0.1000000D+01  0.1294952D-05  0.1333907D+01  0.4550630D+00  0.5449369D+00  0.3262193D-11  0.1000000D-29
 .7448112D+01  0.6689996D-09  0.1451338D-18  0.1000000D+01  0.1269807D-05  0.1342650D+01  0.4548010D+00  0.5451990D+00  0.3236320D-11  0.1000000D-29
 .7392796D+01  0.6693438D-09  0.1429862D-18  0.1000000D+01  0.1241708D-05  0.1352697D+01  0.4544993D+00  0.5455006D+00  0.3207090D-11  0.1000000D-29
 .7337964D+01  0.6696915D-09  0.1408732D-18  0.1000000D+01  0.1214266D-05  0.1362805D+01  0.4541952D+00  0.5458047D+00  0.3178210D-11  0.1000000D-29
 .7290370D+01  0.6699986D-09  0.1390519D-18  0.1000000D+01  0.1190777D-05  0.1371703D+01  0.4539271D+00  0.5460728D+00  0.3153218D-11  0.1000000D-29
 .7236399D+01  0.6703528D-09  0.1370009D-18  0.1000000D+01  0.1164510D-05  0.1381934D+01  0.4536184D+00  0.5463815D+00  0.3124965D-11  0.1000000D-29
 .7182864D+01  0.6707106D-09  0.1349815D-18  0.1000000D+01  0.1138840D-05  0.1392235D+01  0.4533073D+00  0.5466926D+00  0.3097031D-11  0.1000000D-29
 .7129750D+01  0.6710720D-09  0.1329927D-18  0.1000000D+01  0.1113747D-05  0.1402608D+01  0.4529936D+00  0.5470063D+00  0.3069406D-11  0.1000000D-29
 .7083609D+01  0.6713912D-09  0.1312771D-18  0.1000000D+01  0.1092250D-05  0.1411745D+01  0.4527171D+00  0.5472828D+00  0.3045482D-11  0.1000000D-29
 .7031245D+01  0.6717593D-09  0.1293435D-18  0.1000000D+01  0.1068191D-05  0.1422259D+01  0.4523987D+00  0.5476012D+00  0.3018413D-11  0.1000000D-29
 .6979263D+01  0.6721311D-09  0.1274382D-18  0.1000000D+01  0.1044660D-05  0.1432853D+01  0.4520776D+00  0.5479223D+00  0.2991630D-11  0.1000000D-29
 .6927651D+01  0.6725066D-09  0.1255605D-18  0.1000000D+01  0.1021640D-05  0.1443529D+01  0.4517539D+00  0.5482460D+00  0.2965122D-11  0.1000000D-29
 .6882784D+01  0.6728382D-09  0.1239394D-18  0.1000000D+01  0.1001906D-05  0.1452940D+01  0.4514685D+00  0.5485314D+00  0.2942150D-11  0.1000000D-29
 .6831833D+01  0.6732208D-09  0.1221114D-18  0.1000000D+01  0.9798059D-06  0.1463777D+01  0.4511397D+00  0.5488602D+00  0.2916142D-11  0.1000000D-29
 .6781221D+01  0.6736072D-09  0.1203089D-18  0.1000000D+01  0.9581769D-06  0.1474704D+01  0.4508082D+00  0.5491917D+00  0.2890391D-11  0.1000000D-29
 .6737205D+01  0.6739484D-09  0.1187522D-18  0.1000000D+01  0.9396277D-06  0.1484339D+01  0.4505159D+00  0.5494840D+00  0.2868064D-11  0.1000000D-29
